[2025-03-11 20:53:56,404: INFO: main: Welcome to our custom log]
[2025-03-11 20:54:41,742: INFO: main: Welcome to our custom log]
[2025-03-11 20:56:41,718: INFO: main: Welcome to our custom log]
[2025-03-12 18:46:31,329: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-12 18:46:31,385: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-12 18:46:31,390: INFO: common: created directory at: artifacts]
[2025-03-12 18:46:31,397: INFO: common: created directory at: artifacts/data_ingestion]
[2025-03-12 18:46:31,401: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1YNsGzqyphJw7wNCXSuUBF8UU2U-ehJbn/view into file artifacts/data_ingestion/data.zip]
[2025-03-12 18:49:08,728: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1YNsGzqyphJw7wNCXSuUBF8UU2U-ehJbn/view into file artifacts/data_ingestion/data.zip]
[2025-03-12 19:24:24,733: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-03-12 19:24:24,733: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-12 19:24:24,733: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-12 19:24:24,733: INFO: common: created directory at: artifacts]
[2025-03-12 19:24:24,733: INFO: common: created directory at: artifacts/data_ingestion]
[2025-03-12 19:24:24,733: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1YNsGzqyphJw7wNCXSuUBF8UU2U-ehJbn/view into file artifacts/data_ingestion/data.zip]
[2025-03-12 19:27:14,913: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1YNsGzqyphJw7wNCXSuUBF8UU2U-ehJbn/view into file artifacts/data_ingestion/data.zip]
[2025-03-12 19:27:42,918: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
